"","X","Year","Country","GE_status","avg_f0"
"1",68,2023,"Australia","Medium",217.64
"2",6,1969,"Australia","Medium",283.643333333333
"3",16,1977,"Austria","High",240.305
"4",37,1992,"Belgium","Medium",243.3
"5",31,1990,"Bolivia","Medium",226.54
"6",58,2013,"Brazil","Medium",216.586
"7",32,1990,"Chile","Medium",235.56
"8",69,2023,"Colombia","Medium",236.77
"9",26,1984,"Colombia","Medium",245.35
"10",38,1992,"Colombia","Medium",213.05
"11",43,1998,"Colombia","Medium",211.87
"12",53,2008,"Colombia","Medium",293.686666666667
"13",17,1977,"Colombia","Medium",270.76
"14",33,1990,"Colombia","Medium",229.14
"15",48,2003,"Dominican Republic","Medium",206.17
"16",54,2008,"Dominican Republic","Medium",276.538333333333
"17",59,2013,"Ecuador","Medium",268.024
"18",1,1965,"Finland","High",218.94
"19",7,1969,"Finland","High",230.77
"20",18,1977,"Germany","High",237.95
"21",39,1992,"India","Low",237.82
"22",11,1973,"Israel","Medium",236.263333333333
"23",8,1969,"Israel","Medium",213.04
"24",9,1969,"Japan","Medium",304.25
"25",49,2003,"Japan","Medium",287.393333333333
"26",34,1990,"Mexico","Medium",223.24
"27",55,2008,"Mexico","Medium",305.88
"28",40,1992,"Namibia","Medium",227.56
"29",41,1992,"Netherlands","High",209.7
"30",2,1965,"Netherlands","High",217.16
"31",21,1980,"New Zealand","High",210.26
"32",70,2023,"Nicaragua","Medium",219.926666666667
"33",35,1990,"Norway","High",222.82
"34",12,1973,"Norway","High",244.753333333333
"35",27,1984,"Philippines","Medium",235.39
"36",22,1980,"Philippines","Medium",244.57
"37",63,2018,"Philippines","Medium",279.84
"38",13,1973,"Philippines","Medium",267.98
"39",60,2013,"Philippines","Medium",253.52
"40",10,1969,"Philippines","Medium",248.88
"41",44,1998,"Puerto Rico",NA,263.155
"42",64,2018,"Puerto Rico",NA,248.31
"43",71,2023,"Puerto Rico",NA,225.03
"44",56,2008,"Russia","Medium",211.12
"45",19,1977,"Scotland",NA,252.82
"46",23,1980,"Scotland",NA,219.44
"47",50,2003,"Serbia & Montenegro",NA,226.1
"48",51,2003,"South Africa","High",244.95
"49",65,2018,"South Africa","High",263.93
"50",28,1984,"South Africa","High",253.29
"51",14,1973,"Spain","Medium",248.08
"52",61,2013,"Spain","Medium",228.7225
"53",29,1984,"Sweden","High",210.44
"54",24,1980,"Sweden","High",220.3
"55",3,1965,"Sweden","High",217.724
"56",4,1965,"Thailand","Medium",230.265714285714
"57",72,2023,"Thailand","Medium",249.73
"58",20,1977,"Trinidad and Tobago","Medium",226.2
"59",45,1998,"Trinidad and Tobago","Medium",251.98
"60",25,1980,"United States","High",240.57
"61",46,1998,"United States","High",213.493333333333
"62",5,1965,"United States","High",189.323333333333
"63",15,1973,"United States","High",219.65
"64",36,1990,"United States","High",183.86
"65",57,2008,"Venezuela","Medium",265.22
"66",66,2018,"Venezuela","Medium",258.4175
"67",47,1998,"Venezuela","Medium",258.32
"68",52,2003,"Venezuela","Medium",262.315
"69",62,2013,"Venezuela","Medium",245.4475
"70",42,1992,"Venezuela","Medium",243.46
"71",30,1984,"Venezuela","Medium",251.8
"72",67,2018,"Vietnam",NA,282.703333333333
